method,N,time_s,MFLOP/s,bytes_moved,achieved_GB/s,%_peak_bw,accesses,avg_latency_ns
sum_direct,8388608,0.0,,0,0.0,0.0,0,
sum_direct,16777216,0.01,1677.7216,0,0.0,0.0,0,
sum_direct,33554432,0.01,3355.4432,0,0.0,0.0,0,
sum_direct,67108864,0.02,3355.4432,0,0.0,0.0,0,
sum_direct,134217728,0.04,3355.4432,0,0.0,0.0,0,
sum_direct,268435456,0.09,2982.6161777777775,0,0.0,0.0,0,
sum_vector,8388608,0.0,,67108864,0.0,0.0,8388608,
sum_vector,16777216,0.01,1677.7216,134217728,13.4217728,3.2767999999999997,16777216,0.5960464477539062
sum_vector,33554432,0.01,3355.4432,268435456,26.8435456,6.553599999999999,33554432,0.2980232238769531
sum_vector,67108864,0.03,2236.9621333333334,536870912,17.895697066666667,4.369066666666666,67108864,0.4470348358154297
sum_vector,134217728,0.08,1677.7216,1073741824,13.4217728,3.2767999999999997,134217728,0.5960464477539062
sum_vector,268435456,0.16,1677.7216,2147483648,13.4217728,3.2767999999999997,268435456,0.5960464477539062
sum_indirect,8388608,0.01,838.8608,134217728,13.4217728,3.2767999999999997,16777216,0.5960464477539062
sum_indirect,16777216,0.18,93.20675555555555,268435456,1.4913080888888888,0.36408888888888885,33554432,5.364418029785156
sum_indirect,33554432,0.28,119.83725714285714,536870912,1.917396114285714,0.4681142857142857,67108864,4.172325134277344
sum_indirect,67108864,0.91,73.74600439560439,1073741824,1.1799360703296702,0.28807032967032964,134217728,6.780028343200684
sum_indirect,134217728,0.84,159.7830095238095,2147483648,2.5565281523809524,0.624152380952381,268435456,3.129243850708008
sum_indirect,268435456,10.54,25.468259582542697,4294967296,0.4074921533206831,0.09948538899430738,536870912,19.632279872894287
